,Unnamed: 0,ID,Name,Date,Title,Review,Rating,Movie Name,Theatres
0,0,/tt1517268,Imshortok06,23 July 2023," Creative but preachy and confusing
","I'm just going to get straight to the point: I liked some aspects of this movie and disliked other parts. Cinematography: awesome. Choreographed musical numbers: hilarious. Comedy: good. Margot Robbie: great. Ryan Gosling: awesome, and arguably the best part of the movie. The scenery and props really did help create the world. The storyline started off very intriguing. However, when the movie got to the meat of the plot and the central conflict, its message became confusing. It's like they wanted to make Ken the bad guy yet also sympathetic, which is not impossible or unheard of, but the way the writers did this was ineffective. Also, the resolution didn't make sense based on the message and events that led up to it. Lastly, I really hate it when movies try to empower women by dumbing down the men. I get that in a Barbie world, Ken is an afterthought, but in the real world all men were also dumb. They also treated masculine qualities as ""evil."" I hate stereotyping people, men included, and it's like all men ride horses and have fragile egos and drink ""brewskies."" And for goodness sake, if I had a dollar for every time the movie said ""patriarchy"", I'd be rich. So, overall, I give this movie a 6/10.","





6/10
",Barbie,"['INOX Chennai', 'SPI Cinemas Sathyam Chennai', 'SPI Escape Multiplex', 'AGS Cinemas - T. Nagar', 'Mayajaal Multiplex', 'Palazzo IMAX', 'PVR Ampa Chennai', 'PVR VR Chennai Anna Nagar', 'Rohini Silver Screens', 'AGS Cinemas - Villivakkam', 'INOX Luxe Phoenix Market City, Velachery', 'INOX National Chandra Metro Mall / Virugambakkam', 'PVR Grand Galada Chennai', 'PVR Velachery Chennai', 'AGS Cinemas - OMR', 'INOX The Marina Mall OMR', 'PVR Heritage RSL ECR Chennai']"
1,1,/tt1517268,LoveofLegacy,21 July 2023," Beautiful film, but so preachy
","Margot does the best with what she's given, but this film was very disappointing to me. It was marketed as a fun, quirky satire with homages to other movies. It started that way, but ended with over-dramatized speeches and an ending that clearly tried to make the audience feel something, but left everyone just feeling confused. And before you say I'm a crotchety old man, I'm a woman in my 20s, so I'm pretty sure I'm this movie's target audience. The saddest part is there were parents with their kids in the theater that were victims of the poor marketing, because this is not a kid's movie. Overall, the humor was fun on occasion and the film is beautiful to look at, but the whole concept falls apart in the second half of the film and becomes a pity party for the ""strong"" woman.","





6/10
",Barbie,"['INOX Chennai', 'SPI Cinemas Sathyam Chennai', 'SPI Escape Multiplex', 'AGS Cinemas - T. Nagar', 'Mayajaal Multiplex', 'Palazzo IMAX', 'PVR Ampa Chennai', 'PVR VR Chennai Anna Nagar', 'Rohini Silver Screens', 'AGS Cinemas - Villivakkam', 'INOX Luxe Phoenix Market City, Velachery', 'INOX National Chandra Metro Mall / Virugambakkam', 'PVR Grand Galada Chennai', 'PVR Velachery Chennai', 'AGS Cinemas - OMR', 'INOX The Marina Mall OMR', 'PVR Heritage RSL ECR Chennai']"
2,2,/tt1517268,Lk1990,24 July 2023," High Highs, Low Lows.
","The first thing you need to know about Barbie is that Ryan Gosling is the best part of the entire film. For the duration he is over the top, dumb and hilarious. Every scene he was in had me laughing and I enjoyed just about everything he did in the film.Margot Robbie is a great choice for Barbie and as usual puts in a fantastic performance. She hit pretty much every mark in my opinion and I can't see anyone taking her place in this role.Where the film falls flat unfortunately is not the characters, actors or even humour for that matter. It's the incessant political lecturing.It's no surprise that this film takes a strong feminist angle. That's to expected. Barbie was a doll that portrayed many different professions in an attempt to show young girls that they could strive for me than what they were told they could do. But that was the 1950s. This is 2023.By no means is the world a perfect representation of equality today, but it is so vastly superior in that category than it ever has been that the theme of the film falls a little flat. Telling young girls to go after their dreams and not be beholden to any stereotypes is a positive, wonderful message and one that could've been portrayed so much better. But instead, the film teeters on the edge of a radical feminist position.I've seen a lot of people say the film hates men. I disagree with this. I don't think it hates men. Instead, it takes a very simplistic, black and white view of Western culture and assumes that women's lives are overall difficult and men's lives are overall quite easy. When in reality, life is tough. For everyone. At least 99% of us. Claiming otherwise is unjust.However, it's not just the political stance it takes that brings the film down. It's how incessant it is. They are without any shame pushing a political message through the screen down your throat every 10 minutes. It's unbearable at times. Going to the cinema or watching a film should be an enjoyable experience, not a lecture.This film could've been beloved by all genders and ages. Both men and women love Margot Robbie and Ryan Gosling. This feels like an easy lay up for the filmmakers but by going the political route they end up having many jokes go over kids heads and alienate many of the people who where genuinely excited to see this film.I give it a 6/10 because of Gosling and most of the humour. It was enjoyable overall. I think Hollywood needs to stop employing multi millionaire actors to lecture the general public on how to live. It's embarrassing.","





6/10
",Barbie,"['INOX Chennai', 'SPI Cinemas Sathyam Chennai', 'SPI Escape Multiplex', 'AGS Cinemas - T. Nagar', 'Mayajaal Multiplex', 'Palazzo IMAX', 'PVR Ampa Chennai', 'PVR VR Chennai Anna Nagar', 'Rohini Silver Screens', 'AGS Cinemas - Villivakkam', 'INOX Luxe Phoenix Market City, Velachery', 'INOX National Chandra Metro Mall / Virugambakkam', 'PVR Grand Galada Chennai', 'PVR Velachery Chennai', 'AGS Cinemas - OMR', 'INOX The Marina Mall OMR', 'PVR Heritage RSL ECR Chennai']"
3,3,/tt1517268,ramair350,31 July 2023," As a guy I felt some discomfort, and that's ok.
","As much as it pains me to give a movie called ""Barbie"" a 10 out of 10, I have to do so. It is so brilliantly handled and finely crafted, I have to give the filmakers credit. Yes, I am somewhat conservative person and former law enforcement officer. I'm a guy. I like guy things. Hell I even enjoyed the Battleship movie a few years ago (an absolutely ridiculous but fun romp of an action film). But I also like to experience other perspectives. And man oh man does this movie deliver that in spades - pretty much encapsulated everything my wife has tried to convey about her entire career and life experience wrapped up into two hours! The humor, the sets, the acting, and the ability to weave the current narrative into the story was just perfect. I don't agree with some of the points of the movie, but again, that's ok. This movie wasn't designed to give a balanced perspective of men versus women; it is a no-holds-barred unapologetic crazy ride of a rant about the real issues that women have faced since they were ""allowed"" to have ""real jobs"" and do the same things as men. Give me a well done film that is a blast to watch, that makes you think, and that was done from a place of creativity, passion, and attention to detail, and I'll call it what it is: a 10 out of 10 masterpiece.","





10/10
",Barbie,"['INOX Chennai', 'SPI Cinemas Sathyam Chennai', 'SPI Escape Multiplex', 'AGS Cinemas - T. Nagar', 'Mayajaal Multiplex', 'Palazzo IMAX', 'PVR Ampa Chennai', 'PVR VR Chennai Anna Nagar', 'Rohini Silver Screens', 'AGS Cinemas - Villivakkam', 'INOX Luxe Phoenix Market City, Velachery', 'INOX National Chandra Metro Mall / Virugambakkam', 'PVR Grand Galada Chennai', 'PVR Velachery Chennai', 'AGS Cinemas - OMR', 'INOX The Marina Mall OMR', 'PVR Heritage RSL ECR Chennai']"
4,4,/tt1517268,coxaneesa,24 July 2023," It was depressing
","I thought this would be so much different. The ending made me feel sad and empty. Ken and Barbie don't end up together and they made Ken seem like a complete idiot. Actually they presented men as being dumb throughout the whole movie. And I'm not a man but that's just not true. It was depressing and sad and never the way Barbie was created for. I know a lot of people won't agree with me and that's okay but it was just pointless going to see it. The only good thing is that the Barbie aesthetic was beautifully done.I just do not like the way they presented men, it's almost like they want women to turn against men. Which in that case the point of the movie is very degrading for many people.","





8/10
",Barbie,"['INOX Chennai', 'SPI Cinemas Sathyam Chennai', 'SPI Escape Multiplex', 'AGS Cinemas - T. Nagar', 'Mayajaal Multiplex', 'Palazzo IMAX', 'PVR Ampa Chennai', 'PVR VR Chennai Anna Nagar', 'Rohini Silver Screens', 'AGS Cinemas - Villivakkam', 'INOX Luxe Phoenix Market City, Velachery', 'INOX National Chandra Metro Mall / Virugambakkam', 'PVR Grand Galada Chennai', 'PVR Velachery Chennai', 'AGS Cinemas - OMR', 'INOX The Marina Mall OMR', 'PVR Heritage RSL ECR Chennai']"
5,5,/tt1517268,imseeg,22 July 2023," 3 reasons FOR seeing it and 1 reason AGAINST.
","The first reason to go see it:It's good fun. It's fairytale comedy, over the top, pastiche and it works! It simply does! Margot Robie and Ryan Gosling have great chemistry. Everybody sorta agrees on that.Kids are probably not the target audience, although if they would watch it, they wouldnt be shocked or something, they would merely be missing the social and gender issues and jokes of many scenes.The second reason to go see it:It really looks the part. I am not into sets or costumes in particular (at all), but I was impressed with the fun world they had created. It really looks fabulous and I really appreciate it when a movie is eyecandy from start till finish.The third and best reason to go see it:I am a dude and I honestly feared the worst when going along with my wife. But I honestly did not expect this sugarcoated, fairytale Barbieworld to touch my heart in the end, but it did! What the what!They somehow created a finale, that gave me goosebumps and a terrific feel good vibe. You cant wish for more than that. As a dude watching a Barbie picture. Hello!The only reason AGAINST seeing it:If you are a dude and dont like men being portrayed as weak and emotionally inferior to women, then better not go see it, because all the men are (hilarious) loosers and whiners in this movie, with a brilliant performance by Ryan Gosling as an insecure crybaby, who just cant get Barbie to love him.Feared the worst, but in the end I was pleasantly suprised. It's certainly not a brilliant movie, but it is a perfect summer escape movie, with lots of jokes and a wonderful feel good vibe!","





7/10
",Barbie,"['INOX Chennai', 'SPI Cinemas Sathyam Chennai', 'SPI Escape Multiplex', 'AGS Cinemas - T. Nagar', 'Mayajaal Multiplex', 'Palazzo IMAX', 'PVR Ampa Chennai', 'PVR VR Chennai Anna Nagar', 'Rohini Silver Screens', 'AGS Cinemas - Villivakkam', 'INOX Luxe Phoenix Market City, Velachery', 'INOX National Chandra Metro Mall / Virugambakkam', 'PVR Grand Galada Chennai', 'PVR Velachery Chennai', 'AGS Cinemas - OMR', 'INOX The Marina Mall OMR', 'PVR Heritage RSL ECR Chennai']"
6,6,/tt1517268,heatherhilgers,24 July 2023," A Technicolor Dream
","Wow, this movie was a love letter to cinema. From the Kubrick reference at the opening, to the soundstage being 100% real - no cgi for the sets. There were dance sequences like in the olden days (think Grease) and the costuming , wow the costuming. Greta Gerwig dug deep to make this masterpiece using all of her technical chops along the way. The casting director also nailed it, everyone was wonderful.The acting was perfection, I loved seeing the variety of Barbie's on screen and there were so many jokes that would be appropriate for all audiences, this has to be a voluntary PG13 rating as there wasn't swearing or nudity. There was one beach fight amongst the Kens but that's not really violence compared to today's average films, no one was harmed nor any fake blood used.I actually didn't like the ending at all, and I was quite annoyed that Rhea Perlman played the creator of Barbie but made two quips about the IRS getting her for tax evasion - something Ruth Handler never dealt with. Her problem was with the SEC after she had signed off on a positive Mattel earnings forecast when they knew they were in a down quarter - how's that so tough to explain?Irregardless, I want to see this movie again. And again. And again.","





9/10
",Barbie,"['INOX Chennai', 'SPI Cinemas Sathyam Chennai', 'SPI Escape Multiplex', 'AGS Cinemas - T. Nagar', 'Mayajaal Multiplex', 'Palazzo IMAX', 'PVR Ampa Chennai', 'PVR VR Chennai Anna Nagar', 'Rohini Silver Screens', 'AGS Cinemas - Villivakkam', 'INOX Luxe Phoenix Market City, Velachery', 'INOX National Chandra Metro Mall / Virugambakkam', 'PVR Grand Galada Chennai', 'PVR Velachery Chennai', 'AGS Cinemas - OMR', 'INOX The Marina Mall OMR', 'PVR Heritage RSL ECR Chennai']"
7,7,/tt1517268,Binkconn,21 July 2023," Clever and fun beginning turns into another lecture in the patriarchy
","Barbie begins in an irresistible way, as a fun dismantling of all the plasticized and body image ideals the doll has set for little girls throughout the decades, as Barbie faces an existential crisis and must journey into the real world to find her true self. Then about halfway through America Ferrera shows up as a dissatisfied Barbie designer and starts hammering us about the patriarchy, as if all men were clueless, macho oafs like Ken that needed to be smugly tolerated by the greater hierarchy of women. Gerwig seems to be projecting her issues about Hollywood and it makes Barbie out of touch.","





6/10
",Barbie,"['INOX Chennai', 'SPI Cinemas Sathyam Chennai', 'SPI Escape Multiplex', 'AGS Cinemas - T. Nagar', 'Mayajaal Multiplex', 'Palazzo IMAX', 'PVR Ampa Chennai', 'PVR VR Chennai Anna Nagar', 'Rohini Silver Screens', 'AGS Cinemas - Villivakkam', 'INOX Luxe Phoenix Market City, Velachery', 'INOX National Chandra Metro Mall / Virugambakkam', 'PVR Grand Galada Chennai', 'PVR Velachery Chennai', 'AGS Cinemas - OMR', 'INOX The Marina Mall OMR', 'PVR Heritage RSL ECR Chennai']"
8,8,/tt1517268,HabibieHakim123,19 July 2023," Barbie Is A Weirdly Fun Movie!
","8.5/10
While i'm not so sure at first, the movie kept getting even more fun, entertaining, and definitely better, also surprisingly deal with a legit serious stuff, Barbie is a weirdly fun movie that fills with this very interesting concept, definitely the first time that's ever done, Greta Gerwig has created this whole new style of filmmaking specifically for Barbie, from the intentionally weird yet creative editing, some awkward and cringe scene, i found the comedy so funny instead of cringe, Barbie is one of the most original movie of the year and also one of the most original movie i've seen in a while, we all know Margot Robbie and Ryan Gosling is gonna carry the movie and they are, but Will Ferrell, Simu Liu, and the whole rest of the cast were also great and entertaining, the soundtrack was just great, except Nicki Minaj and Ice Spice ""Barbie World"" song that are just absolutely terrible, but Billie Eilish ""What Was I Made For?"" tune that kept haunting in the background until it finally get the perfect scene to played it was really the best thing because that song was just beautiful and emotional, anyway, Barbie is a lot of fun, while there is still some noticeable flawed, most of them i found it funny, entertaining, colourful, creative, and fun, pure fun, it's something that i probably will love it even more the second time i see it, but as of right now, Barbie was a good time, definitely recommended and with this movie somehow it's actually possible to have a live-action Barbie movie, all you need to have is a good writer, good director, and good cast, and they delivers mostly.","





8/10
",Barbie,"['INOX Chennai', 'SPI Cinemas Sathyam Chennai', 'SPI Escape Multiplex', 'AGS Cinemas - T. Nagar', 'Mayajaal Multiplex', 'Palazzo IMAX', 'PVR Ampa Chennai', 'PVR VR Chennai Anna Nagar', 'Rohini Silver Screens', 'AGS Cinemas - Villivakkam', 'INOX Luxe Phoenix Market City, Velachery', 'INOX National Chandra Metro Mall / Virugambakkam', 'PVR Grand Galada Chennai', 'PVR Velachery Chennai', 'AGS Cinemas - OMR', 'INOX The Marina Mall OMR', 'PVR Heritage RSL ECR Chennai']"
9,9,/tt1517268,Natcat87,22 July 2023," Too heavy handed
","As a woman that grew up with Barbie, I was very excited for this movie. I was curious to see how they would evolve the ""stereotypical Barbie"" into something more. But the messaging in this movie was so heavy handed that it completely lost the plot. I consider myself a proponent of gender equality, and this ain't the way to get it.Barbieland flips the script on the patriarchy of the real world, giving women the power and leaving the Kens as attractive accessories. Once Ken gets a glimpse of the real world he brings the patriarchy to Barbieland and the Barbies are ""brainwashed"" (this happens suddenly and without much explanation). The Kens are bumbling fools with zero understanding of governance, and Barbieland falls into disarray.The movie's solution to this is for the Barbies to give a lot of Ted talks on the patriarchy, fool the Kens into war with each other, and rule once again. But isn't the point if gender equality... equality?The feminist messaging could have been so much more effective if it was laid on so THICK. More humor and nuance please. The story gets lost, the real world characters don't add much, and not much changes in the end.What was enjoyable was the acting, the sets and of course the nostalgia.","





6/10
",Barbie,"['INOX Chennai', 'SPI Cinemas Sathyam Chennai', 'SPI Escape Multiplex', 'AGS Cinemas - T. Nagar', 'Mayajaal Multiplex', 'Palazzo IMAX', 'PVR Ampa Chennai', 'PVR VR Chennai Anna Nagar', 'Rohini Silver Screens', 'AGS Cinemas - Villivakkam', 'INOX Luxe Phoenix Market City, Velachery', 'INOX National Chandra Metro Mall / Virugambakkam', 'PVR Grand Galada Chennai', 'PVR Velachery Chennai', 'AGS Cinemas - OMR', 'INOX The Marina Mall OMR', 'PVR Heritage RSL ECR Chennai']"
