,Unnamed: 0,0,1,2,3,4,5,latitude,longitude
0,0,Woodlands Cinemas,3.2, Movie theater,"25, Westcott Rd, near Hindustan Petroleum Petrol Pump",,Indian language films on 2 screens,30.1449413,-95.55175000683073
1,1,Anna Cinema,3.8, Movie theater,"#21, Anna Salai",,"""Small screen but decent theater experience 👍""",51.4842,40.4299
2,2,Jothi Theatre,3.2, Movie theater,"Jothi Theatre, 40, N Parade Rd, near Kathipara Junction",,Movie theatre with surround sound,13.006184399999999,80.20140245
3,3,Sangam Cinemas,4.2, Movie theater,"870, Poonamallee High Rd, Near Hindustan Petrol Bunk",,Multiplex cinema for Indian films,13.079390100000001,80.24938390412466
4,4,AGS Cinemas T Nagar,4.1, Movie theater,"No. 24, 1, Gopathi Narayanaswami Chetty Rd, opp.to barathidasan hospital",,"""Small but comfortable theatres""",13.0474821,80.2450469
5,5,"PVR Sathyam Cinemas, Royapettah",4.4, Movie theater,"8, Thiruvika Rd",,"""Theatre is excellent and sound systems so good.""",11.9288493,79.820103
6,6,Albert Theatres,3.5, Movie theater,"13/1, Whannels Rd",,Standard cinema with various movies,13.076196549999999,80.2638220571118
7,7,National Theatre,3.7, Movie theater,"109, Rajaji Rd",,"""Large screen and good sound""",51.507038699999995,-0.11453015351581934
8,8,Sivasakthi Cinemas,4.3, Movie theater,No - 1,,"""Cheap and Best theater.""",13.0953032,80.1854421
9,9,Krishnaveni cinemas,4.4, Movie theater,"Old No 2, New 3, S Usman Road",,"""Theatre is excellent and so good sound effects & seats""",17.2487353,80.148828
10,10,Malliga Theatre,3.3, Movie theater,"24M6+CCH, shivananda park, Kunrathur Rd",,Snug theater showing Tamil films,9.19596,76.74132
11,11,M.M. Theater,3.1, Movie theater,Thiruvottiyur High Rd,,"""Good balcony seats""",50.9181835,13.344791143604652
12,12,AVM Rajeswari Theatre,3.8, Movie theater,"No.7, Arcot Rd",,Cinema showing the latest Bollywood hits,13.04749,80.2043888
13,13,Jazz Cinemas LUXE,4.5, Movie theater,"Phoenix Market City, No. 142, 2nd Floor, Velachery Rd",,Glam cinema with designer touches,12.9911536,80.2164418
14,14,Udhayam Theatre,3.6, Movie theater,100 Feet Rd,,Cinema for digitally projected movies,13.03459015,80.21047609571241
15,15,Kasi Theatre,4.1, Movie theater,"No:91, 92, 100 Feet Rd",,Movie theatre with snack concessions,13.0294559,80.2084956
16,16,GK Cinemas 4K 3D,4, Movie theater,"25M6+FFW, Trunk Rd",,Movie theater with two screens & snacks,10.3734272,76.3063699
17,17,Kasi Talkies,4.2, Movie theater,"60, Pillaiyar Koil St",,Modern movie theater with snacks,-10.15472,151.22738
18,19,PVR Theyagaraja Chennai,4.1, Movie theater,"60, Lattice Brg Rd",,"""Theatre was neat.""",22.6156949,88.4125332
19,20,Inox National Virugambakkam,3.9, Movie theater,"Chandra Metro Mall, PVR Inox Limited., 3rd, Arcot Rd",,"""Large screen , quality sound system and a very good atmosphere""",13.0470205,80.1903844
20,21,Odeon Mani Theatre,3.5, Movie theater,"573W+G77, W Mada St",,"""Best budget theatre in North Chennai affordable snacks and ok restrooms,""",51.911291,10.424118
21,22,Sri Shanmuga Cinema Theatre Chennai,3.2, Movie theater,"13, Grand Northern Trunk Rd",,Fully air conditioned movie theatre,11.4438904,77.707295
22,23,Srinivasa Theatre,3.3, Movie theater,"Pearl Palace, 21, Devanathan Colony",,nan,13.03102285,80.22472720221688
23,24,Bharath Theatre,4.1, Movie theater,"40, Vijayaraghavalu Rd",,Typical cinema with digital sound,13.110336700000001,80.27994991455492
24,27,Devi Cineplex 2K 3D,3.9, Movie theater,"48, Mount Rd",,4-screen multiplex movie theatre,13.066126,80.270747
25,28,Batcha Theatre,3.4, Movie theater,"37VP+G53, Davidson St",,"""All the best to owner who is trying to keep it operational""",13.093810999999999,80.28545162127865
26,29,Kumaran Cinemas,3.5, Movie theater,"5, Muthu Mohamed St",,Marble-floored movie theatre,28.0656435,81.6284534
27,30,SPI Escape Chennai,4.4, Movie theater,"PVR INOX Limited, 49 50, L Express Avenue",,"""Good bigscreen and good sound and comfortable seats""",39.841779,-89.674582
28,31,PVR Grand Galada Chennai,4.2, Movie theater,"PVR LTD,Grand Galada Mall,Kohinoor-2 Officers Line, Grand Southern Trunk Rd",,Modern movie theatre with a food court,13.148358,80.213584
29,32,Raj Theatre,3.2, Movie theater,"20, Abdul Razzak St",,900-seater cinema with parking & canteen,13.0196236,80.223310829629
30,33,"PVR Cinemas Skywalk, Aminjikarai",4.1, Movie theater,"1, Nelson Manickam Rd",,"""Nice place for family entertainment""",11.9288493,79.820103
31,34,Mayajaal Multiplex,4, Movie theater,"Kanathur, 34/1, East Coast Rd",,Sizable movie theatre in a mall,12.8479789,80.2399205
32,35,Lakshmibala Theatre,3.4, Movie theater,"Chennai, Tamil Nadu",,"""Screen and seating is good""",46.2064868,5.2255336
33,36,Sree Bhagavathi Theatre,4.6, Movie theater,"1/2, Kundrathur Road, 1/2, Mangadu Rd",,nan,9.6292668,76.7320977
34,37,Rohini Silver Screens,3.9, Movie theater,"141/2, Poonamallee High Rd",,Spacious multiplex with a food court,13.07586635,80.19583542158762
35,38,"PVR Grand Mall, Velachery",4.1, Movie theater,"137, Velachery - Tambaram Main Rd",,"""Good seats, excellent screen and sound.""",42.049457,-93.622624
36,39,Devi Paradise,4, Movie theater,"48, Anna Salai",,"""One of the old and best theatres in Chennai.""",17.4418622,78.4875697
37,40,Parimalam Cinemas,2.8, Movie theater,"Porur, Main Rd",,Old-school cinema with a canteen,42.7021393,3.0189272
38,41,Woodlands Theatre,2.6, Movie theater,37MC+37G,,"""A great place for watching movie wth frnds and gang not suitable for family""",13.0571946,80.2647294
39,42,Casino Cinemas,3.7, Movie theater,"2, Blackers Rd",,"""Awsome screen and super sound effects""",34.839896,-82.360558
40,43,Vettri Theatres 4K 3D,4.1, Movie theater,"511, Grand Southern Trunk Rd",,2-screen movie theatre open since 1973,1.285488,103.860181
41,44,PVR SPI Palazzo Chennai,4.5, Movie theater,3rd Forum Vijaya Mall,,"""Best theatre watched dhamaka good experience""",13.0506761,80.2096467
42,45,Ega Theatre,3.9, Movie theater,"810, Poonamallee High Rd",,Typical movie theatre with snacks,40.09352,-8.54903
43,46,Ganapathy Ram Theatre,2.8, Movie theater,"101, Lattice Brg Rd",,"""Nice theatre.. screen and sound quality is awesome""",13.0038872,80.2563577
44,47,Kamala Cinemas,4.3, Movie theater,"156, Arcot Rd",,Contemporary movie theatre with snacks,13.0489289,80.2101557
45,48,Chandran Cinemas,3.2, Movie theater,"No. 1, Ashok Pillar, 100 Feet Rd",,nan,32.26212,75.77703
46,49,Amirtham Cinema,3.7, Movie theater,S Mada St,,"""Screen small so avoid last seats for good view, all others are Fine""",48.76213205,11.426423141948467
47,50,Jazz Cinemas Pvt Ltd,4.3, Movie theater,"21 A, 2nd Floor,Industrial Estate",,nan,12.9911536,80.2164418
48,51,VR Chennai Anna Nagar,4.5, Movie theater,"3rd Floor VR Mall MetroZone 44, Pillaiyar Koil Street, 100 Feet Rd",,"""Good and excellent theater experience""",13.0811478,80.19599696874138
49,52,"PVR Cinemas, Perambur",4.1, Movie theater,"114, A, 114 B , 3rd floor, Paper Mills Road",,"""Neat and clean theather""",17.4267669,78.4531002
