,index,movie,names,reviews
0,0, cinépolis crm mall shahdara , zuh , new i watched spiderman across the spider verse here and it was an amazing experience the picture and sound quality inside the theatre is 10 10 especially the sound quality i could feel my chair shaking during the intense moments with how more 
1,1, cinépolis crm mall shahdara , arif niyazi , heaven inside devil outside overall good but in and out passage towards the main road are terrific the exterior of the mall looks like garbage but inside is ok 
2,2, cinépolis crm mall shahdara , shubham tayal , it was ok but cinepolis service was not that good as always coz there recliners sofa not working till interval ac was not cooling enough 
3,3, cinépolis crm mall shahdara , zeeshan mohammad , 3 months ago rating it 4 stars only because i went to watch a movie and had the premium seats the kind where a foot rest comes out for you so it was as comfortable as watching it on a bed the mall itself is just okay i never go there if i ever feel more 
4,4, cinépolis crm mall shahdara , rahul kumar , new worst movie experience the hall smells very foul and ac doesn t work properly the film projector seems to be sleeping as he started movie from beginning after interval and after complaint had to watch another 30 minutes extra more 
5,5, cinépolis crm mall shahdara , malika shashi , new cinema hall is cool experience was mixed while watching pathan the audience in hall got out of control there was a fight which didn t last long thank god 
6,6, cinépolis crm mall shahdara , vishal kapoor , well managed theatre of east delhi with good recliner seats big screen and affordable ticket price this is recommended theatre 
7,7, cinépolis crm mall shahdara , abhay chanchlani , nice place for spend time with family watching movie play zone for kids 
8,8, cinépolis crm mall shahdara , siddharth suman , new one of the worst canteen people i have come across here that has really disappointed movie experience here often you may enjoy movie for once but avoid eating food at the theater 
9,9, cinépolis crm mall shahdara , abs_321 , cinema hall is cool experience was mixed while watching pathan the audience in hall got out of control there was a fight which didn t last long thank god 
10,10, cinépolis crm mall shahdara , archana shrivastava , new the crowd as well as the ambience is ok i advice you all to go and enjoy your money there 
11,11, cinépolis crm mall shahdara , kishore rawat , good place to go with your family and your loved ones in morning there is very less crowd and the staff keeps checking for i don t know what so not a good time to spend with your loved one in morning sound and everything is good 
12,12, cinépolis crm mall shahdara , rishabh wasan , good cenima nice service but the cenima roof wa broken a little bit which was disturbing in the movie btw okay experience i watched bhool bhulaiya 2 here for the first time 
13,13, cinépolis crm mall shahdara , sagar rastogi , 4 years ago that s great place if you want to visit with your family and love once and prices are very affordable and great things is that it s place inside the mall so you can enjoy the ambience of mall 
14,14, cinépolis crm mall shahdara , sandeep chakraborty , hi there i m your local guide sandeep chakraborty more 
15,15, cinépolis crm mall shahdara , vikram jetly , big screen clear voice cleanliness comfortable seats 
16,16, cinépolis crm mall shahdara , m s , they have better screen sound system and comfortable chairs with ample space i found them much better than the pvr and inox and other cinemas 
17,17, cinépolis crm mall shahdara , harimohan dwivedi , 5 years ago very good cinema best food quality 
18,18, cinépolis crm mall shahdara , mudit saxena , mall is good with free parking facility which i haven t got anywhere else in malls great options for kids and good options of food is also available like haldiram mcdonalds 
19,19, cinépolis crm mall shahdara , manan khanna , i seriously dont like the environment inside the mall it is totally waste of time as well as money to go there there are only spa and alcohol shops inside the mall the crowd as well as the ambience is worst i advice you all not to go and waste your money there 
20,20, cinépolis crm mall shahdara , kamlesh gaur , had a great experience they can still improve a little upon sound otherwise it was good 
21,21, cinépolis crm mall shahdara , furkan ali , good services and nice cinema go end enjoy latest release movies 
22,22, cinépolis crm mall shahdara , riya manchanda , always a bad experience here movie s start late speakers don t work and they staff kept talking through the side door disturbing between the movie 
23,23, cinépolis crm mall shahdara , deepam gupta , location is perfect but problem is with road to reach there all screens are well managed in respect to space between seats quality of sound and picture and cleanliness overall good experience 
24,24, cinépolis crm mall shahdara , sandeep pal , everything is good except seats are not comfortable cushioning is long gone on these chairs now you can sit cross legged 
25,25, cinépolis crm mall shahdara , vineet singhal , it s been a great experience all staff took a good care of the grand event we organised at this theatre more 
26,26, cinépolis crm mall shahdara , shyama ojha , the state of the theatre was good and it was clean too the only major problem was that they didn t play the national anthem before the film started this is not supposed to happen 
27,27, cinépolis crm mall shahdara , ritik verma , nice place but seats are more comfortable but leg space is not good 
28,28, cinépolis crm mall shahdara , hardik thory , pretty cool the tickets are bit overpriced no doubt the food is expensive af but overall it s a cool place to watch movies 
29,29, cinépolis crm mall shahdara , rohit mittal , nothing very grand good for killing 2 to 3 hours not much options for shopping either 
30,30, cinépolis crm mall shahdara , sakshi sirohi , went for a movie date there and it was an amazing experience with the adjustable seats and big screen 
31,31, cinépolis crm mall shahdara , dinesh sharma , good place to spend time with friends family members it is about 1 km walking distance from kakaduma court metro station 
32,32, cinépolis crm mall shahdara , anant , went there to watch godzilla vs kong and noticed every precaution is being taken to avoid any covid possibilities sanitizers temperature monitoring safety shields on the counters everything was present but the menu has gotten very more 
33,33, cinépolis crm mall shahdara , gurjeet singh , cinepolis always maintains the same quality throughout hygienic environment friendly staff 
34,34, cinépolis crm mall shahdara , aditya gupta , only vip seat good rest other seats are worse audio and video quality is excellent but due to uncomfortable seats the more 
35,35, cinépolis crm mall shahdara , ananya tiwari , worst cinepolis service the staff is so rude specially the guy called suhail is extremely rude and doesn t know how to handle a broken counter he should be taught manners before letting him operate at the counter 
36,36, cinépolis crm mall shahdara , puneesh mittal , okaish experience i went to watch spiderman 3d latenight show there is nothing to eat although they have this large menu dont know if they do serve all this at day time or not mall has decent parking space so that is one very good thing safe and free parking 
37,37, cinépolis crm mall shahdara , ashish popli , quality maintained sound and sitting a 1 good staff and crowd mostly night shows are occupied by families also the eatables are available at cheap rates as compared to other malls 
38,38, cinépolis crm mall shahdara , jaspreet singh , just 1 km away from my home good place overall cinema for 2d is absolutely amazing but when it comes to 3d quality is not that good although seats are very comfortable no doubt a good experience but watching in 3d there can be more 
39,39, cinépolis crm mall shahdara , vimal rastogi , rating it 5 stars only because i went to watch a movie and had the premium seats the kind where a foot rest comes out for you so it was as comfortable as watching it on a bed the mall itself is just okay i never go there if i ever feel more 
40,40, cinépolis crm mall shahdara , anshpreet kaur , i went to watch kali jotta on 3rd day of its release and there was not even a single poster of that movie there were posters of bollywood movies which was not even released but not even a single trace of kali jotta do you have something against punjabi movies 
41,41, cinépolis crm mall shahdara , manish kumar , this is a good place you can visit with your family but the food in cinepolis is very very expensivelike popcorn nachos cold drink etc 
42,42, cinépolis crm mall shahdara , ankur saxena , new 7 pm show and now they are saying that there s a 20 mins delay disappointed never coming back 
43,43, cinépolis crm mall shahdara , manoj burman , a nice place to hangout both with friends and family the movie hall is quite good not much options to eat there is only mcdonald s also shopping facilities are limited 
44,44, cinépolis crm mall shahdara , dr satya prakash gautam , 4 years ago nice movie theatre but snacks are expensive 
45,45, cinépolis crm mall shahdara , keya mandal , experience is awesome but some customers make the experience pathetic but cinepolis has nothing to do with that 
46,46, cinépolis crm mall shahdara , vipin marwah , at the top of the crm near to the leela hotel in east delhi nice place to hang out 
47,47, cinépolis crm mall shahdara , prashant vashisth , lol cross river has become one of the chappri malls of east delhi in recent times this mall used to be a nice place to come and do some shopping eat and watch movies cinepolis is exorbitantly overpriced in its food menu a bit overpriced more 
48,48, cinépolis crm mall shahdara , vasudhar jha , mind blowing cineplex but they need to work more on cleaness there are huge space in theater and have comfortable seats more 
49,49, cinépolis crm mall shahdara , saurav thakur , it was a nice place to spend time with your loved ones kind of really liked it 
50,50, pvr velachery chennai , aadhitya , new as a theatre the experience is at its finest great seats amazing viewing experience and everything the only downside is that the food is too costly so much that it s pricier than the movie ticket itself you ll find products mentioned as mrp but still end up paying more than the price which you get outside so overall 3 5 
51,51, pvr velachery chennai , lava k , 5 months ago the mall is small compared to other but it has many shops inside for shopping and also outside there is stall pvr theatre is good but the popcorn is costly more 
52,52, pvr velachery chennai , karthi m , looking at a fantastic place and spent with family and friends ambiance is very awesome need all over tamilnadu chicken nuggets is very tasty bag locker is trustworthiness becz of staff hopefully handle it spacious more 
53,53, pvr velachery chennai , mani nair , the pvr is on the 3rd floor of the grand mall the screens and sound effects are good however the people at the food counter are very reluctant to work i noticed couple of times they spilled cool drinks and tea no one is responsive too more 
54,54, pvr velachery chennai , dipankar chatterjee , new pvr grand mall velachery exceeded all my expectations the moment i stepped in i was impressed by the modern and inviting ambiance the cinema halls were equipped with cutting edge technology delivering crystal clear visuals and immersive more 
55,55, pvr velachery chennai , hari haran , new everything was fine but personally i felt every food was so costly and everyone could not offer the price in theatres there is also play area where you can enjoy n charge 400 per person for a hour 
56,56, pvr velachery chennai , tester t , new pvr cinemas at grand mall velachery is a wonderful destination for enjoying movies with your family the theater provides a great movie watching experience with comfortable seating and excellent audiovisual quality more 
57,57, pvr velachery chennai , archana shrivastava , new this theatre have budget class ticket is available but booking the tickets only in online the cost of snacks is much costlier than movie ticket ha ha and the theatre experience is worth of the quality of sound effects and 4k hd 
58,58, pvr velachery chennai , sheik dawood , the place was very small when compared to the other malls in the city the d mart is on the g floor so it was very crowded and there was no place to sit 
59,59, pvr velachery chennai , rajkumar aravindan , pvr cinemas velachery is one of the most popular cinemas in chennai it has a modern and sophisticated ambiance that makes it a great place to watch a movie more 
60,60, pvr velachery chennai , hemanshu bhatia , a week ago new nice place to watch movies screen and capacity are fine but more than the price of tickets the parking charges hurts you food prices inside the pvr cinemas are as usual very high overall a small mall with good shopping decent food options and 5 screen multiplex 
61,61, pvr velachery chennai , thoti kodandaraman , simply amazing experience in pvr grand mall _ thanking to entire top to buttom all the staff ur done a excellent work _ safety _ neatness _ discipline _ 
62,62, pvr velachery chennai , just for info all , the only thing is free drinking water started in the lobby that s very appreciative but the theatre is uncleaned and has a dirty seat and floor interval 2 coffee and 2 samoza around 470 rupees not worth the money 
