,movie,names,reviews
0,['Cinépolis - CRM Mall Shahdara', ['Zuh', 'NEW' '' '' '' '' 'I watched Spiderman: Across The Spider-Verse here and it was an amazing experience! The picture and sound quality inside the theatre is 10/10 especially the sound quality. I could feel my chair shaking during the intense moments with how …More'
1,'Cinépolis - CRM Mall Shahdara', ['Arif Niyazi', 'Heaven inside devil outside. Overall good. But in and out passage towards the main road are terrific. The exterior of the mall looks like garbage. But inside is ok.'
2,'Cinépolis - CRM Mall Shahdara', ['Shubham Tayal', 'It was ok but Cinepolis service was not that good as always coz there recliners sofa not working till interval & ac was not cooling enough'
3,'Cinépolis - CRM Mall Shahdara', ['Zeeshan Mohammad', '3 months ago' 'Rating it 4 stars only because I went to watch a movie and had the premium seats. The kind where a foot rest comes out for you so it was as comfortable as watching it on a bed. The mall itself is just okay. I never go there if i ever feel …More'
4,'Cinépolis - CRM Mall Shahdara', ['Rahul Kumar'," 'NEW' '' '' '' '' ""Worst movie experience. The hall smells very foul and AC doesn't work properly.  The film projector seems to be sleeping as he started movie from beginning after interval and after complaint had to watch another 30 minutes extra. …More"""
5,'Cinépolis - CRM Mall Shahdara', ['Malika Shashi'," 'NEW' ""Cinema hall is cool. Experience was mixed while watching pathan. The audience in hall got out of control. There was a fight which didn't last long. Thank God !"""
6,'Cinépolis - CRM Mall Shahdara', ['Vishal Kapoor', 'Well managed theatre of east Delhi with good recliner seats Big screen and affordable ticket price. This is recommended theatre 👍'
7,'Cinépolis - CRM Mall Shahdara', ['Abhay Chanchlani', 'Nice place for spend time with family watching movie play zone for kids'
8,'Cinépolis - CRM Mall Shahdara', ['Siddharth Suman', 'NEW' 'One of the worst canteen people I have come across here. That has really disappointed movie experience here often. You may enjoy movie for once but avoid eating food at the theater.'
9,'Cinépolis - CRM Mall Shahdara', ['Abs_321'," ""Cinema hall is cool. Experience was mixed while watching pathan. The audience in hall got out of control. There was a fight which didn't last long. Thank God !"""
10,'Cinépolis - CRM Mall Shahdara', ['Archana Shrivastava', 'NEW' 'The crowd as well as the ambience is ok. I advice you all to go and enjoy your money there'
11,'Cinépolis - CRM Mall Shahdara', ['kishore Rawat'," ""Good Place to go with your family and your loved ones. In morning there is very less crowd and the staff keeps checking for I don't know what so not a good time to spend with your loved one in morning."" 'Sound and everything is good.'"
12,'Cinépolis - CRM Mall Shahdara', ['Rishabh Wasan', 'Good cenima  nice service but the cenima roof wa broken a little bit which was disturbing in the movie .. btw okay experience . I watched Bhool Bhulaiya 2 here for the first time .'
13,'Cinépolis - CRM Mall Shahdara', ['Sagar Rastogi'," '4 years ago' ""That's great place if you want to visit with your family and love once and prices are very affordable and great things is that it's place inside the mall so you can enjoy the ambience of mall"""
14,'Cinépolis - CRM Mall Shahdara', ['Sandeep Chakraborty'," '' '' '' '' '' '' '' 'Hi there' ""I'm your local guide"" 'Sandeep Chakraborty …More'"
15,'Cinépolis - CRM Mall Shahdara', ['Vikram Jetly', 'Big Screen' 'Clear Voice' 'Cleanliness' 'Comfortable seats ✌️'
16,'Cinépolis - CRM Mall Shahdara', ['M S', 'They have better screen sound system and comfortable chairs with ample space. I found them much better than the pvr and Inox and other cinemas'
17,'Cinépolis - CRM Mall Shahdara', ['HARIMOHAN dwivedi', '5 years ago' 'Very good cinema best food quality'
