,movie,names,reviews
0,['INOX Insignia At RCube Monad Mall', ['Vijay Kamath'," ""The theatre is amazingly clean. The surround sound system isn't good enough or loud. However  I had a nice experience."""
1,'INOX Insignia At RCube Monad Mall', ['Jagadeesh Sathiyanarayanan', 'Really one of best theatre in city. INOX experience good sound. Better my suggestion to go on Tuesday to get unlimited popcorn 🍿 until show ends.'
2,'INOX Insignia At RCube Monad Mall', ['Ganesh Kumar', 'May 7 2023 we went movie suddenly power off only  volume we hear after 3 times they shown from beginning'
3,'INOX Insignia At RCube Monad Mall', ['Rajan B N', '' '' '' '' '' '' '' '' '' '' 'Good theater with 6 screening rooms.' '' 'INOX is installed with atomos 4k projection. …More'
4,'INOX Insignia At RCube Monad Mall', ['Abishek P R', 'NEW' 'Not so properly maintained due to less crowd. Food are affordable when compared to other Multiplex like PVR. And Screen 1 & 2 are large screen with good quality and sound systems.  Other 3 screens are smaller ones in screen size other than …More'
5,'INOX Insignia At RCube Monad Mall', ['B N Rajan Dr', '' '' '' '' '' '' '' '' '' '' 'Good theater with 6 screening rooms.' '' 'INOX is installed with atomos 4k projection. …More'
6,'INOX Insignia At RCube Monad Mall', ['BHAVAN KUMAR S U'," '' '' '' '' '' '' '' '' '' '' '' '' '' ""Picture quality and sound effects is good but seats were very uncomfortable to sit i went to 5th screeni don't know about other screens. …More"""
7,'INOX Insignia At RCube Monad Mall', ['venkat krishnan', 'Good. Simple. Theatre access is clumsy. You need to walk through many stores. No proper direction exhibit. Screen not big. Seats excellent. Nicely maintained. Restrooms okay. They suddenly stopped water in the restroom post the show.'
8,'INOX Insignia At RCube Monad Mall', ['Udaya Sankar', 'Theatre was good sound wise is great dolby atmos speakers 360• audio ambiance was nice comfortable seats and smells good proper checking and screen quality also is good but timing was bit late it took 30 late for show to start ⭐️ ⭐️ ⭐️'
9,'INOX Insignia At RCube Monad Mall', ['SRINIVASAN S', 'NEW' '' '' '' '' '' '' '' '' 'Dont use this mall for movie purpose...use this mall.only for D Mart.' '' 'No air conditioner while watching movie and staff was ignorant and not not good …More'
10,'INOX Insignia At RCube Monad Mall', ['Raghul P.K'," ""It was good  than i expected Good theatre experience although i sat in the corner seat It sound system is amazing. It's not a very big screen but a medium size screen."""
11,'INOX Insignia At RCube Monad Mall', ['jeva nantham', 'So good Screen quality sound effects seat interiors all in all very good that screen Inox'
12,'INOX Insignia At RCube Monad Mall', ['Vadivelan Shane', 'Ticket price is somewhat lesser than the food and beverages cost. I think major source of revenue is coming from selling foods rather than the movie tickets. Picture and sound quality is okay for the price that we pay. Restrooms are properly maintained. Overall the experience is good.'
13,'INOX Insignia At RCube Monad Mall', ['sai prashanth', 'Screen quality was nice' 'Sound quality could have been better.' 'Seats were okish'
