movie,positive
 ags cinemas omr ,16.758
 ags cinemas t nagar ,11.713999999999999
 ags cinemas villivakkam ,20.442000000000004
 bharath theatre ,23.954
 cinépolis crm mall shahdara ,20.761999999999997
 ega multiplex ,17.779999999999994
 ganesh cinemas 4k dolby atmos ,27.953999999999997
 gopikrishna paradise a c ,9.638
 i dreams cinema ,25.758000000000003
 inox insignia at rcube monad mall ,14.838
 inox luxe phoenix market city,9.474
 inox the marina mall omr ,22.265999999999995
 inox vishal mall rajouri garden ,16.919999999999995
 jothi cinema hall ,12.607999999999999
 kamala multiplex ,21.862
 kumaran theatre chennai ,13.432000000000002
 m2k cinemas pitampura ,23.118
 mayajaal multiplex ,15.141999999999996
 meenakshi cinemas a c dts ,28.534000000000002
 nadhamuni cinema ,10.973999999999998
 palazzo imax ,22.861999999999988
 pvr ampa chennai ,16.656000000000002
 pvr grand galada chennai ,15.590000000000005
 pvr logix noida ,20.406000000000002
 pvr naraina ,20.137999999999998
 pvr skls galaxy mall red hills chennai ,18.471999999999994
 pvr velachery chennai ,17.964000000000002
 raj cinema hall,13.67
 rakki multiplex ,20.670000000000005
 rohini silver screens ,16.32
 s2 theyagaraja cinema hall ,16.5
 sangam cinemas chennai ,23.164
 spi cinemas sathyam chennai ,19.062
 spi escape ,24.296000000000003
 sri brindha theatre ,12.736000000000004
 udhayam multiplex theatre ,18.346
 varadharaja theatre ,24.592000000000006
 vela cinemas 2k 3d ,14.311999999999998
 vettri cinemas ,19.068000000000005
 vigneshwara theatre ,21.941999999999997
inox national chandra metro mall ,14.491836734693878
pvr ambience,24.125999999999994
pvr heritage,25.518000000000008
vr chennai anna nagar ,20.137999999999998
