movie,positive
 ags cinemas omr ,16.758
 ags cinemas t nagar ,11.714
 ags cinemas villivakkam ,20.442
 bharath theatre ,23.954
 cinépolis crm mall shahdara ,20.761999999999997
 ega multiplex ,17.78
 ganesh cinemas 4k dolby atmos ,27.954
 gopikrishna paradise a c ,9.638
 i dreams cinema ,25.758000000000003
 inox insignia at rcube monad mall ,14.838
 inox luxe phoenix market city,9.474
 inox national chandra metro mall virugambakkam ,14.838
 inox the marina mall omr ,22.266
 inox vishal mall rajouri garden ,16.92
 jothi cinema hall ,12.607999999999999
 kamala multiplex ,21.862
 kumaran theatre chennai ,13.432
 m2k cinemas pitampura ,23.118000000000002
 mayajaal multiplex ,15.142000000000001
 meenakshi cinemas a c dts ,28.534000000000002
 nadhamuni cinema ,10.974
 palazzo imax ,22.862
 pvr ambience gold gurgaon ,24.125999999999998
 pvr ampa chennai ,16.656000000000002
 pvr grand galada chennai ,15.59
 pvr heritage rsl ecr chennai ,25.518
 pvr logix noida ,20.406
 pvr naraina ,20.137999999999998
 pvr skls galaxy mall red hills chennai ,18.472
 pvr velachery chennai ,17.964000000000002
 pvr vr chennai anna nagar ,20.137999999999998
 raj cinema hall chennai ,13.67
 rakki multiplex ,20.67
 rohini silver screens ,16.32
 s2 theyagaraja cinema hall ,16.5
 sangam cinemas chennai ,23.164
 spi cinemas sathyam chennai ,19.062
 spi escape multiplex ,24.296
 sri brindha theatre ,12.735999999999999
 udhayam multiplex theatre ,18.346
 varadharaja theatre ,24.592
 vela cinemas 2k 3d ,14.312000000000001
 vettri cinemas ,19.067999999999998
 vidya theatre ,21.318
 vigneshwara theatre ,21.941999999999997
